"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2021","2022","2023","2024"
"IMF.STA:BOP_AGG(9.0.1)","PNG.CAB_NETCD.USD.A","OBS_VALUE","Papua New Guinea","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","3283.84760834252","4567.400898798273","2794.167406760813","4767.338039460244"
"IMF.STA:BOP_AGG(9.0.1)","MKD.CAB_NETCD.USD.A","OBS_VALUE","North Macedonia, Republic of","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-374.8495122584762","-868.964912681015","50.3535257539191","-356.01987305262"
"IMF.STA:BOP_AGG(9.0.1)","BHS.CAB_NETCD.USD.A","OBS_VALUE","Bahamas, The","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-2433.986886649302","-1232.592723386749","-1069.096758914355","-1052.660800088144"
"IMF.STA:BOP_AGG(9.0.1)","GIN.CAB_NETCD.USD.A","OBS_VALUE","Guinea","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","4638.73","3350.24","1901.12","-391.82"
"IMF.STA:BOP_AGG(9.0.1)","BRN.CAB_NETCD.USD.A","OBS_VALUE","Brunei Darussalam","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","1560.112996141155","3255.600191940256","1943.641616703901","2229.654630442832"
"IMF.STA:BOP_AGG(9.0.1)","RUS.CAB_NETCD.USD.A","OBS_VALUE","Russian Federation","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","124953.03","237734.7713391418","49396.44999999998","63360.35"
"IMF.STA:BOP_AGG(9.0.1)","GRD.CAB_NETCD.USD.A","OBS_VALUE","Grenada","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-161.3693903703704","-148.4447537037037","-243.4733188888889","-270.7707703703704"
"IMF.STA:BOP_AGG(9.0.1)","VCT.CAB_NETCD.USD.A","OBS_VALUE","St. Vincent and the Grenadines","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-206.2719085185185","-199.7271540740741","-180.4304018518519","-156.5889933333333"
"IMF.STA:BOP_AGG(9.0.1)","CHE.CAB_NETCD.USD.A","OBS_VALUE","Switzerland","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","62546.71078276701","76912.23846788569","52768.97064672922","72013.34554250694"
"IMF.STA:BOP_AGG(9.0.1)","CHN.CAB_NETCD.USD.A","OBS_VALUE","China, People's Republic of","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","352885.75463463","443374.2571164299","263382.35336819","423919.2147163"
"IMF.STA:BOP_AGG(9.0.1)","TUR.CAB_NETCD.USD.A","OBS_VALUE","Türkiye, Republic of","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-6221","-46283","-39877","-10193"
"IMF.STA:BOP_AGG(9.0.1)","CMR.CAB_NETCD.USD.A","OBS_VALUE","Cameroon","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-1794.494946514506","-1505.13303582016","-2018.870649831426",""
"IMF.STA:BOP_AGG(9.0.1)","SAU.CAB_NETCD.USD.A","OBS_VALUE","Saudi Arabia","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","40533.62763226592","150353.4914510076","35133.26693135091","-2738.66865281461"
"IMF.STA:BOP_AGG(9.0.1)","ISL.CAB_NETCD.USD.A","OBS_VALUE","Iceland","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-674.9102026075202","-545.1169385532409","-317.9196638832995","-866.9676079956759"
"IMF.STA:BOP_AGG(9.0.1)","AZE.CAB_NETCD.USD.A","OBS_VALUE","Azerbaijan, Republic of","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","8202.978327464697","23478.081","8329.368","4671.108000000003"
"IMF.STA:BOP_AGG(9.0.1)","MAR.CAB_NETCD.USD.A","OBS_VALUE","Morocco","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-3348.692437559201","-4800.285754429353","-1529.987450016092","-1868.774289776953"
"IMF.STA:BOP_AGG(9.0.1)","NPL.CAB_NETCD.USD.A","OBS_VALUE","Nepal","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-5362.970002436422","-2374.991141989615","1005.873573595842","1679.145881897753"
"IMF.STA:BOP_AGG(9.0.1)","GTM.CAB_NETCD.USD.A","OBS_VALUE","Guatemala","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","1873.41049","1116.08025","3212.06453","3268.24776"
"IMF.STA:BOP_AGG(9.0.1)","GEO.CAB_NETCD.USD.A","OBS_VALUE","Georgia","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-1939.316109399999","-645.060914519999","-1633.59160608","-1786.14631962"
"IMF.STA:BOP_AGG(9.0.1)","GBR.CAB_NETCD.USD.A","OBS_VALUE","United Kingdom","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-13851.72062108777","-70961.99367932417","-118354.023140501","-96634.36095124942"
"IMF.STA:BOP_AGG(9.0.1)","IRQ.CAB_NETCD.USD.A","OBS_VALUE","Iraq","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","24565","58009.5","28374.58639331","8366.49999999999"
"IMF.STA:BOP_AGG(9.0.1)","COL.CAB_NETCD.USD.A","OBS_VALUE","Colombia","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-17949.40296431421","-20878.6898898262","-8295.92281594892","-7225.40752208529"
"IMF.STA:BOP_AGG(9.0.1)","URY.CAB_NETCD.USD.A","OBS_VALUE","Uruguay","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-1478.092519731629","-2486.642350711815","-2374.613328387746","-632.8646319905516"
"IMF.STA:BOP_AGG(9.0.1)","MAC.CAB_NETCD.USD.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","2605.189470255989","3393.722619533809","14316.2594035472","17952.30888174795"
"IMF.STA:BOP_AGG(9.0.1)","VNM.CAB_NETCD.USD.A","OBS_VALUE","Vietnam","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-4628","1402","25793","28047"
"IMF.STA:BOP_AGG(9.0.1)","ITA.CAB_NETCD.USD.A","OBS_VALUE","Italy","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","44448.52938802247","-38496.47238095246","5195.1106370854","25773.24098322587"
"IMF.STA:BOP_AGG(9.0.1)","ARM.CAB_NETCD.USD.A","OBS_VALUE","Armenia, Republic of","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-471.3685669362597","143.9837801356072","-670.0160278676835","-1194.50509519867"
"IMF.STA:BOP_AGG(9.0.1)","MYS.CAB_NETCD.USD.A","OBS_VALUE","Malaysia","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","14493.4194710048","12738.46863960388","6257.096796553978","7150.093156330097"
"IMF.STA:BOP_AGG(9.0.1)","JOR.CAB_NETCD.USD.A","OBS_VALUE","Jordan","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-3717.605633802817","-3955.915492957745","-1827.323943661972","-3126.507042253524"
"IMF.STA:BOP_AGG(9.0.1)","SMR.CAB_NETCD.USD.A","OBS_VALUE","San Marino, Republic of","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","100.1177561219829","249.0296753991547","445.8490537340745",""
"IMF.STA:BOP_AGG(9.0.1)","SLE.CAB_NETCD.USD.A","OBS_VALUE","Sierra Leone","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-522.814974096832","-452.094153662779","-606.358360678853",""
"IMF.STA:BOP_AGG(9.0.1)","USA.CAB_NETCD.USD.A","OBS_VALUE","United States","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-858634","-993142","-928017","-1185294"
"IMF.STA:BOP_AGG(9.0.1)","LBY.CAB_NETCD.USD.A","OBS_VALUE","Libya","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","5675.3","9607.39999999999","1864.6",""
"IMF.STA:BOP_AGG(9.0.1)","ECU.CAB_NETCD.USD.A","OBS_VALUE","Ecuador","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","3040.417905833513","2247.414831986595","2346.491769313248","7058.84304909588"
"IMF.STA:BOP_AGG(9.0.1)","AIA.CAB_NETCD.USD.A","OBS_VALUE","Anguilla, United Kingdom-British Overseas Territory","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-142.8840855555556","-13.23917037037037","130.7724862962963",""
"IMF.STA:BOP_AGG(9.0.1)","HND.CAB_NETCD.USD.A","OBS_VALUE","Honduras","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-1537.902787370401","-2156.562609242871","-1367.804425143562","-1649.482994179746"
"IMF.STA:BOP_AGG(9.0.1)","OMN.CAB_NETCD.USD.A","OBS_VALUE","Oman","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-4835.685478926502","4009.862705212016","2433.644273084468","3068.773848684135"
"IMF.STA:BOP_AGG(9.0.1)","THA.CAB_NETCD.USD.A","OBS_VALUE","Thailand","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-10838.74915356816","-16995.60015111687","8479.21738636268","11619.1025852553"
"IMF.STA:BOP_AGG(9.0.1)","SLV.CAB_NETCD.USD.A","OBS_VALUE","El Salvador","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-1250.461217924781","-2143.721476517071","-367.8307813340769","-632.5486810873584"
"IMF.STA:BOP_AGG(9.0.1)","MNG.CAB_NETCD.USD.A","OBS_VALUE","Mongolia","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-2108.439815125172","-2303.498985609669","121.2661718304083","-2485.434521306645"
"IMF.STA:BOP_AGG(9.0.1)","ATG.CAB_NETCD.USD.A","OBS_VALUE","Antigua and Barbuda","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-284.8822096296296","-291.6742188888889","-271.0471966666667","-181.3658840740741"
"IMF.STA:BOP_AGG(9.0.1)","ZAF.CAB_NETCD.USD.A","OBS_VALUE","South Africa","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","15843.62010238868","-1207.228550223068","-4209.439168075479","-2578.559235522127"
"IMF.STA:BOP_AGG(9.0.1)","NER.CAB_NETCD.USD.A","OBS_VALUE","Niger","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-2099.092173630452","-2500.089004983752","-2332.754443512813",""
"IMF.STA:BOP_AGG(9.0.1)","ISR.CAB_NETCD.USD.A","OBS_VALUE","Israel","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","14797.90000000001","14126.5","15719.2","15475.29999999999"
